bookId,title,author,description,genres,avg_rating,num_ratings
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,Douglas Adams,"At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series.,\The Hitchhiker's Guide to the Galaxy\,Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time an,At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series.,\The Hitchhiker's Guide to the Galaxy\,Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space.,\The Restaurant at the End of the Universe\,Facing annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat.,\Life, the Universe and Everything\,The unhappy inhabitants of planet Krikkit are sick of looking at the night sky- so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew.,\So Long, and Thanks for All the Fish\,Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription conspires to thrust him back to reality. So to speak.,\Mostly Harmless\,Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself?,Also includes the short story \Young Zaphod Plays It Safe\.","Science Fiction, Fiction, Humor, Fantasy, Classics, Comedy, Science Fiction Fantasy, Adventure, Novels, European Literature, British Literature",4.36,295046
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,"At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series.,\The Hitchhiker's Guide to the Galaxy\,Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time an,At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series.,\The Hitchhiker's Guide to the Galaxy\,Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space.,\The Restaurant at the End of the Universe\,Facing annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat.,\Life, the Universe and Everything\,The unhappy inhabitants of planet Krikkit are sick of looking at the night sky- so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew.,\So Long, and Thanks for All the Fish\,Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription conspires to thrust him back to reality. So to speak.,\Mostly Harmless\,Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself?,Also includes the short story \Young Zaphod Plays It Safe\.","Science Fiction, Fiction, Humor, Fantasy, Classics, Comedy, Science Fiction Fantasy, Adventure, Novels, European Literature, British Literature",4.36,295030
14,The Hitchhiker's Guide to the Galaxy,Douglas Adams,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of the The Hitch Hiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out of work actor.,Together this dynamic pair begin their journey through space aided by quotes f,Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of the The Hitch Hiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out of work actor.,Together this dynamic pair begin their journey through space aided by quotes from The Hitch Hiker's Guide \A towel is about the most massively useful thing an interstellar hitchhiker can have\ and a galaxy-full of fellow travellers: Zaphod Beeblebrox - the two-headed, three-armed ex-hippie and totally out to lunch president of the galaxy; Trillian, Zaphod's girlfriend formally Tricia McMillan, whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ball-point pens he has bought over the years.","Science Fiction, Fiction, Humor, Fantasy, Classics, Comedy, Science Fiction Fantasy, Audiobook, Adventure, Novels",4.22,1500272
15,The Hitchhiker's Guide to Lean: Lessons from the Road,"Jamie Flinchbaugh,Andy Carlino,Dennis Pawley","Embarking on a lean journey is similar to hitchhiking -- there are many roads on which to wander and no single one is right for all. This book reveals the most critical lessons learned over the authors' combined 30-plus years of exploring lean highways and shares stories based on real-world applications. The authors focus on areas where most lean efforts fail to illustrate,Embarking on a lean journey is similar to hitchhiking -- there are many roads on which to wander and no single one is right for all. This book reveals the most critical lessons learned over the authors' combined 30-plus years of exploring lean highways and shares stories based on real-world applications. The authors focus on areas where most lean efforts fail to illustrate steps to take to reenergize, accelerate and sustain a lean transformation. The book's ten chapters cover lean principles and thinking, lean leadership moves, the roadmap for lean transformation, common pitfalls of lean journeys, building an operating system, lean accounting, lean material management, lean in service organizations, and how individuals can apply lean to improve themselves. The book concludes with interviews of lean practitioners on the front lines of change at Chrysler, Ross Controls, DTE Energy. RSR Corporation, and Nemak.",Business,3.73,79
16,The Hitchhiker's Guide to the Galaxy,"Douglas Adams,Stephen Fry","Don't leave Earth without this hilarious international bestseller about the end of the world and the happy-go-lucky days that follow. Join the gruesome two-some of Arthur Dent and his friend, Ford Prefect, in their now-famous intergalactic journey through time and space.,Don't leave Earth without this hilarious international bestseller about the end of the world and the happy-go-lucky days that follow. Join the gruesome two-some of Arthur Dent and his friend, Ford Prefect, in their now-famous intergalactic journey through time and space.","Science Fiction, Fiction, Humor, Fantasy, Classics, Comedy, Science Fiction Fantasy, Audiobook, Adventure, Novels",4.22,1500482
17,The Hitchhiker's Guide to the Galaxy: Quandary Phase,Douglas Adams,"Many are familiar with Douglas Adams's classic,series, but few know that these books started out as a multi-part series performed on BBC radio. This installment, part four, is a robust radio dramatization of,The Earth has miraculously reappeared and Arthur Dent is in love with the otherworldly Fenchurch,,Many are familiar with Douglas Adams's classic,series, but few know that these books started out as a multi-part series performed on BBC radio. This installment, part four, is a robust radio dramatization of,The Earth has miraculously reappeared and Arthur Dent is in love with the otherworldly Fenchurch, but Ford Prefect has an idea that might burst Arthur’s happy little bubble. What is really going on with Arthur’s dream girl, where have all the dolphins gone, and what was their departing message to mankind?","Science Fiction, Audiobook, Humor, Fiction, Comedy, Science Fiction Fantasy, Fantasy, Classics, Space, Plays",4.35,773
19,The Hitchhiker's Guide to the Galaxy: Quintessential Phase,Douglas Adams,"Panic! It's the last installment of The Hitchhiker's Guide to the Galaxy, with a brand new full-cast dramatization of Mostly Harmless, the final book in Douglas Adams' famous \trilogy in five parts.\ While frequent flyer Arthur Dent searches the universe for his lost love, Ford Prefect discovers a disturbing blast from the past at. The Hitchhiker's Guide HQ. Meanwhile, on,Panic! It's the last installment of The Hitchhiker's Guide to the Galaxy, with a brand new full-cast dramatization of Mostly Harmless, the final book in Douglas Adams' famous \trilogy in five parts.\ While frequent flyer Arthur Dent searches the universe for his lost love, Ford Prefect discovers a disturbing blast from the past at. The Hitchhiker's Guide HQ. Meanwhile, on one of many versions of Earth, a blonder, more American Trillian gets tangled up with a party of lost aliens having an identity crisis. A stolen ship, a dramatic stampede, and a new and sinister Guide lead to a race to save the earth. . .again.","Science Fiction, Audiobook, Humor, Fiction, Comedy, Science Fiction Fantasy, Drama, Time Travel, Adult, Aliens",4.37,741
21,A Short History of Nearly Everything,Bill Bryson,"In Bryson's biggest book, he confronts his greatest challenge: to understand—and, if possible, answer—the oldest, biggest questions we have posed about the universe and ourselves. Taking as territory everything from the Big Bang to the rise of civilization, Bryson seeks to understand how we got from there being nothing at all to there being us. To that end, he has attached,In Bryson's biggest book, he confronts his greatest challenge: to understand—and, if possible, answer—the oldest, biggest questions we have posed about the universe and ourselves. Taking as territory everything from the Big Bang to the rise of civilization, Bryson seeks to understand how we got from there being nothing at all to there being us. To that end, he has attached himself to a host of the world’s most advanced and often obsessed archaeologists, anthropologists, and mathematicians, travelling to their offices, laboratories, and field camps. He has read or tried to read their books, pestered them with questions, apprenticed himself to their powerful minds.,is the record of this quest, and it is a sometimes profound, sometimes funny, and always supremely clear and entertaining adventure in the realms of human knowledge, as only Bill Bryson can render it. Science has never been more involving or entertaining.","Nonfiction, Science, History, Audiobook, Humor, Popular Science, Physics, Historical, Philosophy, Unfinished",4.19,316671
22,Bill Bryson's African Diary,Bill Bryson,"In the early fall of 2002, famed travel Writer Bill Bryson journeyed to Kenya at the invitation of CARE International, the charity dedicated to working with local communities to eradicate poverty around the world. He arrived with a set of mental images of Africa gleaned from television broadcasts of low-budget Jungle Jim movies in his Iowa childhood and a single viewing of,In the early fall of 2002, famed travel Writer Bill Bryson journeyed to Kenya at the invitation of CARE International, the charity dedicated to working with local communities to eradicate poverty around the world. He arrived with a set of mental images of Africa gleaned from television broadcasts of low-budget Jungle Jim movies in his Iowa childhood and a single viewing of the film version of Out of Africa. Also with some worries about tropical diseases, insects and large predators. But the vibrant reality of Kenya and its people took over the second he deplaned in Nairobi, and this diary records Bill Bryson's impresssions of his trip with his inimitable trademark style of wry observation and curious insight. From the wrenching poverty of the Kibera slum in Nairobi to the meticulously manicured grounds of the Karen Blixen house and the human fossil riches of the National Museum, Bryson registers the striking contrasts of a postcolonial society in transition. He visits the astoundingly vast Great Rift Valley; undergoes the rigors of a teeth-rattling train journey to Mombasa and a hair-whitening flight through a vicious storm; and visits the refugee camps and the agricultural and economic projects where dedicated CARE professionals wage noble and dogged war against poverty, dislocation and corruption.","Travel, Nonfiction, Cultural, Africa, Humor, Autobiography, Memoir, Eastern Africa, Kenya, Biography, Adventure, History",3.45,8839
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,"A revised and updated edition of a humorous primer on the English language, expanded for an American audience, contains entries on correct and questionable usage, a glossary, and a pronunciation guide.","Nonfiction, Language, Writing, Humanities, Reference, Linguistics, Humor, Dictionaries, History, Books About Books, Literature, American",3.88,2837
24,In a Sunburned Country,Bill Bryson,"Every time Bill Bryson walks out the door, memorable travel literature threatens to break out. His previous excursion along the Appalachian Trail resulted in the sublime national bestseller,.,is his report on what he found in an entirely different place: Australia,,Every time Bill Bryson walks out the door, memorable travel literature threatens to break out. His previous excursion along the Appalachian Trail resulted in the sublime national bestseller,.,is his report on what he found in an entirely different place: Australia, the country that doubles as a continent, and a place with the friendliest inhabitants, the hottest, driest weather, and the most peculiar and lethal wildlife to be found on the planet. The result is a deliciously funny, fact-filled, and adventurous performance by a writer who combines humor, wonder, and unflagging curiousity.,Despite the fact that Australia harbors more things that can kill you in extremely nasty ways than anywhere else, including sharks, crocodiles, snakes, even riptides and deserts, Bill Bryson adores the place, and he takes his readers on a rollicking ride far beyond that beaten tourist path. Wherever he goes he finds Australians who are cheerful, extroverted, and unfailingly obliging, and these beaming products of land with clean, safe cities, cold beer, and constant sunshine fill the pages of this wonderful book. Australia is an immense and fortunate land, and it has found in Bill Bryson its perfect guide.","Travel, Nonfiction, Humor, Cultural, Australia, Autobiography, Memoir, Audiobook, History, Adventure, Biography, Travelogue",4.06,94050
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,"After living in Britain for two decades, Bill Bryson recently moved back to the United States with his English wife and four children he had read somewhere that nearly 3 million Americans believed they had been abducted by aliens--as he later put it, \it was clear my people needed me\. They were greeted by a new and improved America that boasts microwave pancakes, twenty,After living in Britain for two decades, Bill Bryson recently moved back to the United States with his English wife and four children he had read somewhere that nearly 3 million Americans believed they had been abducted by aliens--as he later put it, \it was clear my people needed me\. They were greeted by a new and improved America that boasts microwave pancakes, twenty-four-hour dental-floss hotlines, and the staunch conviction that ice is not a luxury item.,Delivering the brilliant comic musings that are a Bryson hallmark, I'm a Stranger Here Myself recounts his sometimes disconcerting reunion with the land of his birth. The result is a book filled with hysterical scenes of one man's attempt to reacquaint himself with his own country, but it is also an extended if at times bemused love letter to the homeland he has returned to after twenty years away.","Nonfiction, Travel, Humor, Autobiography, Memoir, Writing, Essays, Biography, Audiobook, Literature, American, The United States Of America",3.89,60838
26,The Lost Continent: Travels in Small Town America,Bill Bryson,"'I come from Des Moines. Somebody had to',And, as soon as Bill Bryson was old enough, he left. Des Moines couldn't hold him, but it did lure him back. After ten years in England, he returned to the land of his youth, and drove almost 14,000 miles in search of a mythical small town called Amalgam, the kind of trim and sunny place where the films of his youth were set. Instea,'I come from Des Moines. Somebody had to',And, as soon as Bill Bryson was old enough, he left. Des Moines couldn't hold him, but it did lure him back. After ten years in England, he returned to the land of his youth, and drove almost 14,000 miles in search of a mythical small town called Amalgam, the kind of trim and sunny place where the films of his youth were set. Instead, his search led him to Anywhere, USA; a lookalike strip of gas stations, motels and hamburger outlets populated by lookalike people with a penchant for synthetic fibres. Travelling around thirty-eight of the lower states - united only in their mind-numbingly dreary uniformity - he discovered a continent that was doubly lost; lost to itself because blighted by greed, pollution, mobile homes and television; lost to him because he had become a stranger in his own land.,The Lost Continent is a classic of travel literature - hilariously, stomach-achingly funny, yet tinged with heartache - and the book that first staked Bill Bryson's claim as the most beloved writer of his generation.","Travel, Nonfiction, Humor, Autobiography, Memoir, Literature, American, Audiobook, Biography, The United States Of America, Travelogue, Comedy",3.82,53545
27,Neither Here nor There: Travels in Europe,Bill Bryson,"Bill Bryson's first travel book,,, was unanimously acclaimed as one of the funniest books in years. In,he brings his unique brand of humour to bear on Europe as he shoulders his backpack, keeps a tight hold on his wallet, and journeys from Hammerfest, the northernmost town on the continent, to Istanbul on the cusp of Asia. Fluent in,Bill Bryson's first travel book,,, was unanimously acclaimed as one of the funniest books in years. In,he brings his unique brand of humour to bear on Europe as he shoulders his backpack, keeps a tight hold on his wallet, and journeys from Hammerfest, the northernmost town on the continent, to Istanbul on the cusp of Asia. Fluent in, oh, at least one language, he retraces his travels as a student twenty years before.,Whether braving the homicidal motorist of Paris, being robbed by gypsies in Florence, attempting not to order tripe and eyeballs in a German restaurant, window-shopping in the sex shops of the Reeperbahn or disputing his hotel bill in Copenhagen, Bryson takes in the sights, dissects the culture and illuminates each place and person with his hilariously caustic observations. He even goes to Liechtenstein.","Travel, Nonfiction, Humor, Autobiography, Memoir, Biography, Audiobook, Travelogue, Writing, Essays, Comedy, Adventure",3.84,63799
28,Notes from a Small Island,Bill Bryson,"After nearly two decades spent on British soil, Bill Bryson - bestselling author of,and,-decided to return to the United States. \I had recently read,\ Bryson writes, \that 3.7 million Americans believed that they had been abd,After nearly two decades spent on British soil, Bill Bryson - bestselling author of,and,-decided to return to the United States. \I had recently read,\ Bryson writes, \that 3.7 million Americans believed that they had been abducted by aliens at one time or another, so it was clear that my people needed me.\ But before departing, he set out on a grand farewell tour of the green and kindly island that had so long been his home.,Veering from the ludicrous to the endearing and back again,,is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile.","Travel, Nonfiction, Humor, Autobiography, Memoir, European Literature, British Literature, Biography, Audiobook, Comedy, History, Travelogue",3.91,98212
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,"With dazzling wit and astonishing insight, Bill Bryson—the acclaimed author of,—brilliantly explores the remarkable history, eccentricities, resilience and sheer fun of the English language. From the first descent of the larynx into the throat why you can talk but your dog can't, to the fine lost art of swearing, Bryson tells the fascinating, often upro,With dazzling wit and astonishing insight, Bill Bryson—the acclaimed author of,—brilliantly explores the remarkable history, eccentricities, resilience and sheer fun of the English language. From the first descent of the larynx into the throat why you can talk but your dog can't, to the fine lost art of swearing, Bryson tells the fascinating, often uproarious story of an inadequate, second-rate tongue of peasants that developed into one of the world's largest growth industries.","Nonfiction, History, Humanities, Language, Linguistics, Humor, Writing, Audiobook, Travel, Reference, Science",3.92,36978
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"This four-volume, boxed set contains J.R.R. Tolkien's epic masterworks The Hobbit and the three volumes of The Lord of the Rings The Fellowship of the Ring, The Two Towers, and The Return of the King.,In The Hobbit, Bilbo Baggins is whisked away from his comfortable, unambitious life in Hobbiton by the wizard Gandalf and a company of dwarves. He finds himself caught up in,This four-volume, boxed set contains J.R.R. Tolkien's epic masterworks The Hobbit and the three volumes of The Lord of the Rings The Fellowship of the Ring, The Two Towers, and The Return of the King.,In The Hobbit, Bilbo Baggins is whisked away from his comfortable, unambitious life in Hobbiton by the wizard Gandalf and a company of dwarves. He finds himself caught up in a plot to raid the treasure hoard of Smaug the Magnificent, a large and very dangerous dragon.,The Lord of the Rings tells of the great quest undertaken by Frodo Baggins and the Fellowship of the Ring: Gandalf the wizard; the hobbits Merry, Pippin, and Sam; Gimli the dwarf; Legolas the elf; Boromir of Gondor; and a tall, mysterious stranger called Strider. J.R.R. Tolkien's three volume masterpiece is at once a classic myth and a modern fairy tale—a story of high and heroic adventure set in the unforgettable landscape of Middle-earth","Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy, Young Adult, Literature, Magic",4.6,113901
